date,district,market_name,commodity_name,variety,actual,prediction,error,pct_error
2024-04-09,Medinipur(W),Jhargram,Rice,Super Fine,5000,5098.823,98.8232421875,1.97646484375
2024-04-04,Medinipur(W),Jhargram,Rice,Super Fine,5200,5103.0454,96.95458984375,1.8645113431490383
2024-02-19,Medinipur(W),Jhargram,Rice,Common,3800,3793.5713,6.4287109375,0.16917660361842105
2024-08-26,Darjeeling,Kalimpong,Rice,Other,4500,4595.681,95.68115234375,2.1262478298611107
2024-04-25,Medinipur(W),Jhargram,Rice,Super Fine,5200,5107.3276,92.67236328125,1.7821608323317306
2024-01-14,Medinipur(W),Jhargram,Rice,Common,4000,3837.3315,162.66845703125,4.06671142578125
2024-01-13,Medinipur(W),Jhargram,Rice,Common,4200,3864.744,335.256103515625,7.9822881789434526
2025-03-16,Medinipur(W),Jhargram,Rice,Fine,4400,4374.0967,25.9033203125,0.5887118252840909
2024-03-14,Darjeeling,Kalimpong,Rice,Other,6000,6065.653,65.65283203125,1.0942138671875001
2024-12-05,Medinipur(W),Jhargram,Rice,Super Fine,5000,4938.4053,61.5947265625,1.23189453125
2024-12-13,Medinipur(W),Jhargram,Rice,Super Fine,4800,4926.495,126.4951171875,2.63531494140625
2024-06-14,Medinipur(W),Jhargram,Rice,Fine,4500,4428.2363,71.763671875,1.5947482638888888
2024-08-04,Darjeeling,Kalimpong,Rice,Other,4600,5032.236,432.23583984375,9.396431300951088
2025-01-09,Medinipur(W),Jhargram,Rice,Fine,4400,4352.505,47.4951171875,1.0794344815340908
2024-07-17,Medinipur(W),Jhargram,Rice,Fine,4400,4427.3804,27.38037109375,0.6222811612215909
2024-05-06,Medinipur(W),Jhargram,Rice,Fine,4200,4405.162,205.162109375,4.88481212797619
2024-07-12,Medinipur(W),Jhargram,Rice,Super Fine,5000,5022.0723,22.072265625,0.4414453125
2025-03-11,Medinipur(W),Jhargram,Rice,Super Fine,5000,4989.8164,10.18359375,0.203671875
2024-10-03,Darjeeling,Kalimpong,Rice,Other,4500,4530.8926,30.892578125,0.6865017361111111
2024-02-15,Medinipur(W),Jhargram,Rice,Common,3800,3814.8599,14.85986328125,0.39104903371710525
2025-06-02,Medinipur(W),Jhargram,Rice,Fine,4400,4392.436,7.56396484375,0.1719082919034091
2025-08-28,Medinipur(W),Jhargram,Rice,Common,3800,3809.17,9.169921875,0.24131373355263155
2024-10-17,Darjeeling,Kalimpong,Rice,Other,4500,4563.6904,63.6904296875,1.4153428819444445
2024-08-13,Darjeeling,Kalimpong,Rice,Other,4600,4620.1035,20.103515625,0.4370329483695652
2024-11-16,Medinipur(W),Jhargram,Rice,Fine,4200,4400.4707,200.470703125,4.773111979166666
2024-03-18,Darjeeling,Kalimpong,Rice,Other,6000,5995.441,4.55908203125,0.07598470052083334
2024-02-21,Medinipur(W),Jhargram,Rice,Common,3800,3801.2456,1.24560546875,0.03277909128289474
2025-08-06,Medinipur(W),Jhargram,Rice,Super Fine,5000,5012.6455,12.6455078125,0.25291015624999996
2024-05-25,Medinipur(W),Jhargram,Rice,Common,3700,3784.0835,84.08349609375,2.2725269214527026
2025-07-30,Medinipur(W),Jhargram,Rice,Common,3800,3799.556,0.444091796875,0.01168662623355263
2024-02-26,Medinipur(W),Jhargram,Rice,Super Fine,5000,5103.9697,103.9697265625,2.0793945312499997
2024-09-12,Medinipur(W),Jhargram,Rice,Common,3800,3820.414,20.4140625,0.5372121710526315
2024-10-31,Darjeeling,Kalimpong,Rice,Other,4500,4635.413,135.4130859375,3.0091796875
2024-07-07,Darjeeling,Kalimpong,Rice,Other,6000,5963.8955,36.1044921875,0.6017415364583333
2025-06-17,Medinipur(W),Jhargram,Rice,Common,3800,3790.9888,9.01123046875,0.23713764391447367
2024-04-08,Medinipur(W),Jhargram,Rice,Super Fine,5200,5101.475,98.52490234375,1.8947096604567306
2024-05-05,Darjeeling,Kalimpong,Rice,Other,6000,5968.031,31.96923828125,0.5328206380208333
